canonical_ar,english,frequency_class,corpus_share_pct,slot1_person_pct,slot2_father_pct,slot3_grandfather_pct,slot4_ancestor_pct,slot5_family_pct,slot6_clan_pct
مهدي,Mahdy,c,0.062621,2.73,14.85,25.66,38.25,16.48,1.89
دنيا,Donia,c,0.062258,96.45,0.03,0.03,0.42,2.25,0.76
منار,Manar,c,0.061913,99.87,0.1,0.01,0.01,0.0,0.0
فريد,Farid,c,0.061477,3.95,29.91,32.96,26.82,5.39,0.84
أبوبكر,Abubakr,c,0.061413,10.58,24.67,28.53,24.08,11.3,0.81
عبدالباقي,Abdelbaqi,c,0.061213,0.59,5.91,22.44,48.05,21.53,1.42
بلال,Bilal,c,0.061177,58.52,19.3,5.23,4.25,10.68,1.92
دعاء,Doaa,c,0.060768,99.9,0.07,0.03,0.0,0.0,0.0
عبدالحفيظ,Abdelhafiz,c,0.060595,0.81,7.69,40.47,43.5,7.33,0.18
أروى,Arwa,c,0.059805,100.0,0.0,0.0,0.0,0.0,0.0
هيثم,Haitham,c,0.059369,8.61,90.42,0.83,0.14,0.0,0.0
ثابت,Thabet,c,0.059306,0.92,12.97,46.64,34.29,4.29,0.83
عطا,Atta,c,0.059306,0.66,12.67,34.08,27.16,21.17,4.06
بخيت,Bakhit,c,0.059242,0.26,10.27,24.66,35.79,27.2,1.7
حماد,Hammad,c,0.059197,1.03,9.45,17.94,26.76,37.64,6.83
حنا,Hanna,c,0.058788,0.53,9.63,17.95,40.23,30.89,0.74
دسوقي,Desouky,c,0.058688,0.17,8.47,24.86,36.31,27.05,3.0
يسري,Yousry,c,0.057998,4.32,64.43,24.86,5.65,0.63,0.11
أمير,Amir,c,0.05738,37.45,54.84,4.86,2.58,0.25,0.02
شلبي,Shalaby,c,0.057126,0.11,4.15,10.67,21.1,52.95,10.61
رياض,Riad,c,0.056944,8.09,10.91,30.79,45.96,3.94,0.27
جومانا,Jomana,c,0.028159,100.0,0.0,0.0,0.0,0.0,0.0
مينا,Mina,c,0.055818,76.29,16.01,1.2,3.56,2.75,0.18
ريم,Reem,c,0.055627,99.98,0.02,0.0,0.0,0.0,0.0
الحسيني,Elhusseiny,c,0.055463,3.42,17.23,30.51,30.89,15.87,1.9
آدم,Adam,c,0.0551,73.39,2.64,5.18,9.13,8.79,0.86
عبدالباسط,Abdelbaset,c,0.054691,1.38,31.71,33.86,28.22,4.65,0.18
ماجد,Maged,c,0.0546,8.95,82.13,5.86,1.8,1.1,0.17
عرفة,Arafa,c,0.054528,2.07,30.28,21.42,23.85,18.79,3.38
شاكر,Shaker,c,0.054273,2.64,18.63,37.29,35.78,4.77,0.82
مروة,Marwa,c,0.054137,99.97,0.0,0.03,0.0,0.0,0.0
منى,Mona,c,0.054128,99.98,0.0,0.0,0.0,0.02,0.0
فراج,Farrag,c,0.053801,0.81,14.27,25.97,27.82,26.71,4.22
رضوى,Radwa,c,0.049096,99.97,0.0,0.0,0.02,0.02,0.0
